task_id,subject,topic,prompt,reviewer_id,relevant_subject_expertise_yes_no,prompt_clear_1_5,answers_correct_complete_1_5,solution_steps_correct_complete_1_5,missing_valid_strategy_yes_no,misconceptions_plausible_observable_1_5,hints_scaffold_without_leakage_1_5,scoring_criteria_valid_1_5,age_appropriate_1_5,accessibility_or_bias_concern_yes_no,blocking_error_yes_no,disposition_approve_revise_reject,reviewer_notes
math-algebra-01,Math,Algebra,Solve for x: 3(x - 4) = 2x + 5,,,,,,,,,,,,,,
math-algebra-02,Math,Algebra,Solve for x: 5x + 7 = 2x + 25,,,,,,,,,,,,,,
math-algebra-03,Math,Algebra,Solve for x: 4(x + 2) = 3x + 15,,,,,,,,,,,,,,
math-algebra-04,Math,Algebra,Solve for x: 7 - 2x = 19,,,,,,,,,,,,,,
math-algebra-05,Math,Algebra,Solve for x: (x / 3) + 5 = 11,,,,,,,,,,,,,,
math-algebra-06,Math,Algebra,Solve for x: 6x - 4 = 2(x + 8),,,,,,,,,,,,,,
math-algebra-07,Math,Algebra,Solve for x: 9 - 3(x - 1) = 0,,,,,,,,,,,,,,
math-algebra-08,Math,Algebra,Solve for x: 0.5x + 3 = 8,,,,,,,,,,,,,,
math-algebra-09,Math,Algebra,Solve for x: 2(x + 5) - 3 = 15,,,,,,,,,,,,,,
math-algebra-10,Math,Algebra,Solve for x: 4 - (x - 6) = 12,,,,,,,,,,,,,,
math-functions-01,Math,Functions and Systems,"If f(x) = 2x^2 - 3, find f(4).",,,,,,,,,,,,,,
math-functions-02,Math,Functions and Systems,"A line passes through (2, 3) and (6, 11). Find its slope.",,,,,,,,,,,,,,
math-functions-03,Math,Functions and Systems,"Write the equation of a line with slope 3 through (2, 5).",,,,,,,,,,,,,,
math-functions-04,Math,Functions and Systems,Solve the system: x + y = 9 and x - y = 3.,,,,,,,,,,,,,,
math-functions-05,Math,Functions and Systems,Solve the system: 2x + y = 7 and x - y = 2.,,,,,,,,,,,,,,
math-functions-06,Math,Functions and Systems,"For g(x) = |x - 4|, find g(-2).",,,,,,,,,,,,,,
math-functions-07,Math,Functions and Systems,"The table has points (0, 5), (1, 8), and (2, 11). Write its linear rule.",,,,,,,,,,,,,,
math-functions-08,Math,Functions and Systems,Find the inverse of f(x) = 2x + 6.,,,,,,,,,,,,,,
math-functions-09,Math,Functions and Systems,What is the vertex of y = (x - 3)^2 + 4?,,,,,,,,,,,,,,
math-functions-10,Math,Functions and Systems,"An arithmetic sequence begins 7, 11, 15, 19. Write a formula for a_n.",,,,,,,,,,,,,,
math-geometry-01,Math,Geometry,A right triangle has legs 6 and 8. Find the hypotenuse.,,,,,,,,,,,,,,
math-geometry-02,Math,Geometry,A circle has radius 5. Find its area in terms of pi.,,,,,,,,,,,,,,
math-geometry-03,Math,Geometry,A rectangle is 12 by 7. A 3 by 2 rectangle is cut from one corner. Find the remaining area.,,,,,,,,,,,,,,
math-geometry-04,Math,Geometry,Two angles form a linear pair. One is 68 degrees. Find the other.,,,,,,,,,,,,,,
math-geometry-05,Math,Geometry,A triangle has angles 45 and 72 degrees. Find the third angle.,,,,,,,,,,,,,,
math-geometry-06,Math,Geometry,A cylinder has radius 3 and height 8. Find its volume in terms of pi.,,,,,,,,,,,,,,
math-geometry-07,Math,Geometry,Similar triangles have scale factor 3 from small to large. A small side is 5. Find the matching large side.,,,,,,,,,,,,,,
math-geometry-08,Math,Geometry,"The endpoints of a segment are (-2, 4) and (6, 10). Find the midpoint.",,,,,,,,,,,,,,
math-geometry-09,Math,Geometry,"Find the distance between (1, 2) and (4, 6).",,,,,,,,,,,,,,
math-geometry-10,Math,Geometry,A regular hexagon has side length 4. Find its perimeter.,,,,,,,,,,,,,,
math-statistics-01,Math,Statistics and Probability,"Find the median of 4, 8, 15, 16, 23, 42.",,,,,,,,,,,,,,
math-statistics-02,Math,Statistics and Probability,"Find the mean of 6, 8, 9, 12, 15.",,,,,,,,,,,,,,
math-statistics-03,Math,Statistics and Probability,"A bag has 3 red, 5 blue, and 2 green marbles. Find P(red).",,,,,,,,,,,,,,
math-statistics-04,Math,Statistics and Probability,A fair coin is flipped twice. Find the probability of exactly one head.,,,,,,,,,,,,,,
math-statistics-05,Math,Statistics and Probability,"The scores are 70, 72, 74, 76, and 98. Which measure better describes a typical score: mean or median?",,,,,,,,,,,,,,
